ID,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Idade,Gasto_Total,Total_Filhos,Total_Compras,Total_Campanhas_Aceitas,Tempo_Cliente_Dias
5524,Graduação,Solteiro,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,57,1617,0,22,1,663
2174,Graduação,Solteiro,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,60,27,2,4,0,113
4141,Graduação,Com Parceiro,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,49,776,0,20,0,312
6182,Graduação,Com Parceiro,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,30,53,1,6,0,139
5324,Doutorado,Com Parceiro,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,33,422,1,14,0,161
7446,Mestrado,Com Parceiro,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,47,716,1,20,0,293
965,Graduação,Solteiro,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,43,590,1,17,0,593
6177,Doutorado,Com Parceiro,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,29,169,1,8,0,417
4855,Doutorado,Com Parceiro,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,40,46,1,5,1,388
5899,Doutorado,Com Parceiro,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,64,49,2,1,1,108
387,Básico,Com Parceiro,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,38,61,0,5,0,593
2125,Graduação,Solteiro,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,55,1102,0,15,0,226
8180,Mestrado,Solteiro,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,62,310,2,12,0,226
2569,Graduação,Com Parceiro,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,27,46,0,4,0,627
2114,Doutorado,Solteiro,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,68,1315,0,25,3,582
9736,Graduação,Com Parceiro,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,34,96,2,6,0,552
4939,Graduação,Com Parceiro,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,68,317,0,11,0,667
6565,Mestrado,Com Parceiro,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,65,1782,1,24,1,458
2278,Mestrado,Solteiro,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,29,133,1,6,0,603
